-42.4336959,35.1666898,5.7767459
-42.5182451,35.3567364,5.6657321
-42.5983655,35.5483242,5.5547182
-42.6723408,35.7388046,5.4437044
-42.7384545,35.9255289,5.3326905
-42.7949904,36.1058483,5.2216767
-42.8500483,36.3188227,5.1197415
-42.8924124,36.5372598,5.0233494
-42.9185401,36.7306506,4.9269574
-42.9330047,36.8958282,4.8305654
-42.9407799,37.0972245,4.7313712
-42.9280524,37.2831773,4.6314679
-42.8959416,37.4650345,4.5352025
-42.8531005,37.6537464,4.4418352
-42.8006641,37.8606492,4.3484679
-42.7471230,38.0582857,4.3091441
-42.6889594,38.2433387,4.3146099
-42.6126801,38.4282241,4.3200757
-42.5092714,38.6101880,4.3270815
-42.4027937,38.7521236,4.3701589
-42.2741206,38.8922081,4.4132362
-42.1241800,39.0300512,4.4563136
-41.9538996,39.1652629,4.4993909
-41.7848011,39.2838846,4.5533281
-41.6196322,39.3887721,4.6159443
-41.4460533,39.4900309,4.6785604
-41.2667418,39.5866878,4.7411766
-41.0843751,39.6777697,4.8037928
-40.9012552,39.7624701,4.8663770
-40.7114722,39.8432047,4.9282465
-40.5230784,39.9158777,4.9901159
-40.3351044,39.9806383,5.0519854
-40.1465808,40.0376353,5.1138549
-39.9565381,40.0870180,5.1757244
-39.7627230,40.1292200,5.2508894
-39.5662240,40.1641331,5.3297402
-39.3679946,40.1919086,5.4085910
-39.1686059,40.2127899,5.4874418
-38.9686294,40.2270203,5.5662926
-38.7680451,40.2348584,5.6552093
-38.5673471,40.2365231,5.7516758
-38.3671424,40.2322865,5.8481423
-38.1675982,40.2224452,5.9446089
-37.9688816,40.2072956,6.0410754
-37.7700798,40.1870113,6.1425259
-37.5706961,40.1617531,6.2518993
-37.3725077,40.1320471,6.3612726
-37.1755627,40.0982684,6.4706460
-36.9799091,40.0607921,6.5800194
-36.7848604,40.0198320,6.6912681
-36.5892019,39.9753835,6.8075024
-36.3947510,39.9280519,6.9237368
-36.2013461,39.8780352,7.0399712
-36.0088261,39.8255314,7.1562056
-35.8170260,39.7707374,7.2726961
-35.6257837,39.7138290,7.3900420
-35.4349745,39.6549491,7.5073879
-35.2444631,39.5942323,7.6247339
-35.0541142,39.5318131,7.7420798
-34.8641588,39.4679504,7.8589223
-34.6757343,39.4031768,7.9735903
-34.4873104,39.3369922,8.0882582
-34.2989559,39.2694120,8.2029261
-34.1107394,39.2004513,8.3175941
-33.9228155,39.1301576,8.4318765
-33.7360022,39.0588508,8.5424167
-33.5495439,38.9862957,8.6529569
-33.3635217,38.9125747,8.7634971
-33.1780167,38.8377703,8.8740373
-32.9931101,38.7619647,8.9845775
-32.8076678,38.6847288,9.0906678
-32.6229483,38.6066147,9.1966381
-32.4390509,38.5277019,9.3026084
-32.2560423,38.4480565,9.4085787
-32.0739890,38.3677445,9.5145491
-31.8901548,38.2855709,9.6163807
-31.7070697,38.2026755,9.7176931
-31.5251287,38.1192707,9.8190055
-31.3443734,38.0354119,9.9203179
-31.1648454,37.9511545,10.0216303
-30.9825345,37.8646182,10.1188737
-30.8010994,37.7775257,10.2156169
-30.6210839,37.6901532,10.3123602
-30.4425304,37.6025402,10.4091035
-30.2653917,37.5146814,10.5057712
-30.0847673,37.4241164,10.5981786
-29.9056634,37.3332991,10.6905859
-29.7279649,37.2421505,10.7829932
-29.5515568,37.1505916,10.8754006
