# x_m,y_m,w_tr_right_m,w_tr_left_m,curvature
14.2863,-11.4385,1.0597,1.0597,-0.005869342028578574
14.2218,-11.4385,1.0597,1.0597,-0.11763594429829528
14.1574,-11.374,1.0597,1.0597,-0.1185929317007665
14.0929,-11.374,1.0597,1.0597,-0.08897080546784349
14.0285,-11.3096,1.0597,1.0597,-0.046988237186368034
13.964,-11.3096,1.0597,1.0597,-0.017198324287618083
13.8995,-11.2451,1.0597,1.0597,0.024950527198511232
13.8351,-11.2451,1.0597,1.0597,0.0354389904639625
13.7706,-11.1806,1.0597,1.0597,0.026876957444519407
13.7062,-11.1806,1.0597,1.0597,0.020837895761318632
13.6417,-11.1162,1.0613,1.0613,0.012297074288614289
13.5772,-11.1162,1.0416,1.0416,0.006256174023945111
13.5128,-11.0517,1.0613,1.0613,-0.0022785035528803603
13.4483,-10.9873,1.0597,1.0597,-0.010814081160949255
13.3839,-10.9873,1.0597,1.0597,-0.016847306838552987
13.3194,-10.9228,1.0613,1.0613,-0.025398514380488155
13.2549,-10.8583,1.0416,1.0416,-0.03395876218503789
13.1905,-10.8583,1.0613,1.0613,-0.0322313502407059
13.126,-10.7939,1.0613,1.0613,0.009882744221691107
13.0616,-10.7294,1.0416,1.0416,0.05197929881995405
12.9971,-10.7294,1.0613,1.0613,0.08171564940755559
12.9326,-10.665,1.0613,1.0613,0.12357849126621004
12.8682,-10.6005,1.0416,1.0416,0.09874936936355631
12.8037,-10.6005,1.0613,1.0613,-0.01297319453550587
12.7393,-10.536,1.0613,1.0613,-0.17108798397375666
12.6748,-10.4716,1.0416,1.0416,-0.3305411559479644
12.6103,-10.4716,1.0613,1.0613,-0.4440818365031211
12.5459,-10.4071,1.0695,1.0695,-0.5184588956275311
12.4814,-10.3427,1.0613,1.0613,-0.2899668753353632
12.417,-10.2782,1.0416,1.0416,-0.06363705355740666
12.3525,-10.2782,1.0613,1.0613,0.09587405705401772
12.288,-10.2137,1.0695,1.0695,0.32268341023757857
12.2236,-10.1493,1.0613,1.0613,0.5511393726034407
12.1591,-10.0848,1.0416,1.0416,0.4201524003142681
12.0947,-10.0848,1.0613,1.0613,0.30710717835900664
12.0302,-10.0204,1.0662,1.0662,0.14824239805585526
11.9657,-9.9559,1.0662,1.0662,-0.009524670357703035
11.9013,-9.8914,1.0662,1.0662,-0.14609860728398535
11.8368,-9.827,1.0613,1.0613,-0.1039511315778276
11.7724,-9.7625,1.0416,1.0416,-0.06154998449895912
11.7079,-9.7625,1.0662,1.0662,-0.03146416169103001
11.6434,-9.6981,1.0695,1.0695,0.011092842784135956
11.579,-9.6336,1.0662,1.0662,0.0379462549396787
11.5145,-9.5691,1.0613,1.0613,0.025485467339280088
11.4501,-9.5047,1.0416,1.0416,0.01305763518208265
11.3856,-9.5047,1.0662,1.0662,0.004261107329853259
11.3211,-9.4402,1.0662,1.0662,-0.008177386409361482
11.2567,-9.3758,1.0662,1.0662,-0.011753818718607839
11.1922,-9.3113,1.0662,1.0662,-0.005148296871531369
11.1278,-9.2468,1.0662,1.0662,0.0014535505661440603
11.0633,-9.1824,1.0613,1.0613,0.00805501736326206
10.9988,-9.1179,1.0416,1.0416,0.014659372621675205
10.9344,-9.1179,1.0662,1.0662,0.006850302482869777
10.8699,-9.0535,1.0662,1.0662,-0.005910432104506896
10.8055,-8.989,1.0662,1.0662,-0.01867469974749244
10.741,-8.9245,1.0662,1.0662,-0.03145926451535883
10.6765,-8.8601,1.0613,1.0613,-0.037705528377257144
10.6121,-8.7956,1.0416,1.0416,0.005561546873841422
10.5476,-8.7956,1.0662,1.0662,0.03617781892013098
10.4832,-8.7312,1.0662,1.0662,0.07934434851520313
10.4187,-8.6667,1.0662,1.0662,0.1224063578070404
10.3542,-8.6022,1.0662,1.0662,0.10548889925295386
10.2898,-8.5378,1.0613,1.0613,-0.05265928430308712
10.2253,-8.4733,1.0416,1.0416,-0.2115557323874608
10.1609,-8.4733,1.0613,1.0613,-0.3246228241723742
10.0964,-8.4089,1.0662,1.0662,-0.4854221567130194
10.0319,-8.3444,1.0662,1.0662,-0.4602783747782686
9.9675,-8.2799,1.0662,1.0662,-0.231847946510145
9.903,-8.2155,1.0662,1.0662,-0.005591116273099721
9.8386,-8.151,1.0613,1.0613,0.22059457767454405
9.7741,-8.0866,1.0416,1.0416,0.4489182914658703
9.7096,-8.0866,1.0613,1.0613,0.5402626229822183
9.6452,-8.0221,1.0662,1.0662,0.3797007772529139
9.5807,-7.9576,1.0662,1.0662,0.21928230058067796
9.5163,-7.8932,1.0662,1.0662,0.06057286579701181
9.4518,-7.8287,1.0613,1.0613,-0.09781019082540651
9.3873,-7.7643,1.0416,1.0416,-0.12451726817802486
9.3229,-7.7643,1.0662,1.0662,-0.094147869299156
9.2584,-7.6998,1.0662,1.0662,-0.05095922995094281
9.194,-7.6353,1.0662,1.0662,-0.007705295409578417
9.1295,-7.5709,1.0662,1.0662,0.03556305586949467
9.065,-7.5064,1.0613,1.0613,0.032082596148710986
9.0006,-7.442,1.0416,1.0416,0.01931710294224407
8.9361,-7.442,1.0662,1.0662,0.010283371579521368
8.8717,-7.3775,1.0662,1.0662,-0.0024778386319097494
8.8072,-7.313,1.0662,1.0662,-0.014979236067183727
8.7427,-7.2486,1.0662,1.0662,-0.008379876870486348
8.6783,-7.1841,1.0613,1.0613,-0.0017781963340495403
8.6138,-7.1197,1.0416,1.0416,0.00482395427641543
8.5494,-7.1197,1.0662,1.0662,0.009488050663603911
8.4849,-7.0552,1.0695,1.0695,0.012428077329646748
8.4204,-6.9907,1.0662,1.0662,-1.2173779814654992e-05
8.356,-6.9263,1.0613,1.0613,-0.012433371499655939
8.2915,-6.8618,1.0416,1.0416,-0.024881021967032166
8.2271,-6.8618,1.0662,1.0662,-0.03367694262204457
8.1626,-6.7974,1.0662,1.0662,-0.025690765370731113
8.0981,-6.7329,1.0662,1.0662,0.01690495437673375
8.0337,-6.6684,1.0662,1.0662,0.059437214695312664
7.9692,-6.604,1.0613,1.0613,0.1018510293008773
7.9048,-6.5395,1.0416,1.0416,0.1440189961874817
7.8403,-6.5395,1.0662,1.0662,0.06342129349834238
7.7758,-6.4751,1.0695,1.0695,-0.09409606993920272
7.7114,-6.4106,1.0662,1.0662,-0.2524637644939556
7.6469,-6.3461,1.0662,1.0662,-0.4123801821758281
7.5825,-6.2817,1.0613,1.0613,-0.5626879997822107
7.518,-6.2172,1.0416,1.0416,-0.33380093924618665
7.4535,-6.2172,1.0662,1.0662,-0.17307291993407656
7.3891,-6.1528,1.0695,1.0695,0.05237099184922559
7.3246,-6.0883,1.0662,1.0662,0.27882482744257087
